data,noise,nsensors,anomaly count,wave len,window,precision,recall,anomaly_normal_ratio,noise direction
77,0.5,1,1,1,20,0.975609756097561,0.975609756097561,2.5e-05,n
77,0.5,1,5,1,20,0.8888888888888888,0.8888888888888888,0.00013,n
77,0.5,1,10,1,20,0.82,0.82,0.00024,n
77,0.5,2,1,1,20,0.975609756097561,0.975609756097561,2.5e-05,n
77,0.5,2,5,1,20,0.8888888888888888,0.8888888888888888,0.00013,n
77,0.5,2,10,1,20,0.82,0.82,0.00024,n
77,0.5,3,1,1,20,1.0,1.0,2.5e-05,n
77,0.5,3,5,1,20,0.9111111111111111,0.9111111111111111,0.00013,n
77,0.5,3,10,1,20,0.84,0.84,0.00024,n
77,0.25,1,1,1,20,0.975609756097561,0.975609756097561,2.5e-05,n
77,0.25,1,5,1,20,0.8888888888888888,0.8888888888888888,0.00013,n
77,0.25,1,10,1,20,0.8,0.8,0.00024,n
77,0.25,2,1,1,20,0.975609756097561,0.975609756097561,2.5e-05,n
77,0.25,2,5,1,20,0.8888888888888888,0.8888888888888888,0.00013,n
77,0.25,2,10,1,20,0.8,0.8,0.00024,n
77,0.25,3,1,1,20,0.975609756097561,0.975609756097561,2.5e-05,n
77,0.25,3,5,1,20,0.8888888888888888,0.8888888888888888,0.00013,n
77,0.25,3,10,1,20,0.8,0.8,0.00024,n
77,0.1,1,1,1,20,0.975609756097561,0.975609756097561,2.5e-05,n
77,0.1,1,5,1,20,0.8888888888888888,0.8888888888888888,0.00013,n
77,0.1,1,10,1,20,0.8,0.8,0.00024,n
77,0.1,2,1,1,20,0.975609756097561,0.975609756097561,2.5e-05,n
77,0.1,2,5,1,20,0.8888888888888888,0.8888888888888888,0.00013,n
77,0.1,2,10,1,20,0.8,0.8,0.00024,n
77,0.1,3,1,1,20,0.975609756097561,0.975609756097561,2.5e-05,n
77,0.1,3,5,1,20,0.8888888888888888,0.8888888888888888,0.00013,n
77,0.1,3,10,1,20,0.8,0.8,0.00024,n
77,0.5,1,1,15,30,1.0,1.0,2.5e-05,n
77,0.5,1,5,15,30,1.0,1.0,0.00013,n
77,0.5,1,10,15,30,1.0,1.0,0.00024,n
77,0.5,2,1,15,30,1.0,1.0,2.5e-05,n
77,0.5,2,5,15,30,1.0,1.0,0.00013,n
77,0.5,2,10,15,30,1.0,1.0,0.00024,n
77,0.5,3,1,15,30,1.0,1.0,2.5e-05,n
77,0.5,3,5,15,30,1.0,1.0,0.00013,n
77,0.5,3,10,15,30,0.9210526315789473,0.9210526315789473,0.00024,n
77,0.25,1,1,15,30,0.7272727272727273,0.7272727272727273,2.5e-05,n
77,0.25,1,5,15,30,0.7391304347826086,0.7391304347826086,0.00013,n
77,0.25,1,10,15,30,0.7631578947368421,0.7631578947368421,0.00024,n
77,0.25,2,1,15,30,0.7272727272727273,0.7272727272727273,2.5e-05,n
77,0.25,2,5,15,30,0.7391304347826086,0.7391304347826086,0.00013,n
77,0.25,2,10,15,30,0.8421052631578947,0.8421052631578947,0.00024,n
77,0.25,3,1,15,30,0.7272727272727273,0.7272727272727273,2.5e-05,n
77,0.25,3,5,15,30,0.7391304347826086,0.7391304347826086,0.00013,n
77,0.25,3,10,15,30,0.9210526315789473,0.9210526315789473,0.00024,n
77,0.1,1,1,15,30,0.7272727272727273,0.7272727272727273,2.5e-05,n
77,0.1,1,5,15,30,0.4782608695652174,0.4782608695652174,0.00013,n
77,0.1,1,10,15,30,0.3684210526315789,0.3684210526315789,0.00024,n
77,0.1,2,1,15,30,0.7272727272727273,0.7272727272727273,2.5e-05,n
77,0.1,2,5,15,30,0.4782608695652174,0.4782608695652174,0.00013,n
77,0.1,2,10,15,30,0.3684210526315789,0.3684210526315789,0.00024,n
77,0.1,3,1,15,30,0.7272727272727273,0.7272727272727273,2.5e-05,n
77,0.1,3,5,15,30,0.4782608695652174,0.4782608695652174,0.00013,n
77,0.1,3,10,15,30,0.3684210526315789,0.3684210526315789,0.00024,n
77,0.5,1,1,60,120,1.0,1.0,2.5e-05,n
77,0.5,1,5,60,120,1.0,1.0,0.00013,n
77,0.5,1,10,60,120,0.8125,0.8125,0.00024,n
77,0.5,2,1,60,120,1.0,1.0,2.5e-05,n
77,0.5,2,5,60,120,1.0,1.0,0.00013,n
77,0.5,2,10,60,120,0.90625,0.90625,0.00024,n
77,0.5,3,1,60,120,1.0,1.0,2.5e-05,n
77,0.5,3,5,60,120,0.8235294117647058,0.8235294117647058,0.00013,n
77,0.5,3,10,60,120,0.8125,0.8125,0.00024,n
77,0.25,1,1,60,120,0.4,0.4,2.5e-05,n
77,0.25,1,5,60,120,0.6470588235294118,0.6470588235294118,0.00013,n
77,0.25,1,10,60,120,0.71875,0.71875,0.00024,n
77,0.25,2,1,60,120,0.4,0.4,2.5e-05,n
77,0.25,2,5,60,120,0.6470588235294118,0.6470588235294118,0.00013,n
77,0.25,2,10,60,120,0.625,0.625,0.00024,n
77,0.25,3,1,60,120,0.4,0.4,2.5e-05,n
77,0.25,3,5,60,120,0.8235294117647058,0.8235294117647058,0.00013,n
77,0.25,3,10,60,120,0.71875,0.71875,0.00024,n
77,0.1,1,1,60,120,0.4,0.4,2.5e-05,n
77,0.1,1,5,60,120,0.29411764705882354,0.29411764705882354,0.00013,n
77,0.1,1,10,60,120,0.4375,0.4375,0.00024,n
77,0.1,2,1,60,120,0.4,0.4,2.5e-05,n
77,0.1,2,5,60,120,0.29411764705882354,0.29411764705882354,0.00013,n
77,0.1,2,10,60,120,0.34375,0.34375,0.00024,n
77,0.1,3,1,60,120,0.4,0.4,2.5e-05,n
77,0.1,3,5,60,120,0.11764705882352941,0.11764705882352941,0.00013,n
77,0.1,3,10,60,120,0.34375,0.34375,0.00024,n
